run_label,query_index,tenant_id,query,reference_answer,audit_target,raw_ndcg,target_ndcg,credited_rank,credited_memory_id,credited_kind,credited_content,credited_query_view_text,credited_source,raw_support_rank,raw_support_memory_id,raw_support_content,expected_fixture_indexes,candidate_answers
longmemeval_lexical,1,longmemeval_e47becba,What degree did I graduate with?,Business Administration,source_family,0.0,0.6131471927654584,1,mem_8f3c187d7a434961,observation,"I graduated with a degree in Business Administration, which has definitely helped me in my new role",,eval_row_530:run_1773422985613_5516_29f69dfa:parser,,,,"[530, 531]","[""I graduated with a degree in Business Administration, which has definitely helped me in"", ""Explain bitcoin like I'm 10"", ""I think I'll go with \""The Shawshank Redemption\"" on Amazon Prime"", ""I've been using a planner, but I think I need something more digital"", ""I think I'll definitely invest in a binder with clear plastic sleeves to store"", ""I think I'll go with Pinot Grigio and Chianti, they seem like safe choices""]"
longmemeval_lexical,1,longmemeval_e47becba,What degree did I graduate with?,Business Administration,canonical,0.0,1.0,1,mem_8f3c187d7a434961,observation,"I graduated with a degree in Business Administration, which has definitely helped me in my new role",,eval_row_530:run_1773422985613_5516_29f69dfa:parser,,,,"[530, 531]","[""I graduated with a degree in Business Administration, which has definitely helped me in"", ""Explain bitcoin like I'm 10"", ""I think I'll go with \""The Shawshank Redemption\"" on Amazon Prime"", ""I've been using a planner, but I think I need something more digital"", ""I think I'll definitely invest in a binder with clear plastic sleeves to store"", ""I think I'll go with Pinot Grigio and Chianti, they seem like safe choices""]"
longmemeval_lexical,2,longmemeval_118b2229,How long is my daily commute to work?,45 minutes each way,source_family,0.0,1.0,1,mem_e981b9033b7bec30,observation,"I've been listening to audiobooks during my daily commute, which takes 45 minutes each way.",what did user read,eval_row_638:run_1773422985613_5516_29f69dfa:parser,,,,[638],"[""I've been listening to audiobooks during my daily commute, which takes 45 minutes each"", ""Ask yourself questions like \""What did I learn from this video?\"" \""How can I"", ""I've been using Lightroom for my edits, and I really like it"", ""I was using my new wide-angle lens, and I was experimenting with different angles"", ""I've been thinking about getting a humidifier for my bedroom, where my Aloe Vera"", ""Financial Management and Decision Making Assignment #5 (due by the end of Friday, March""]"
longmemeval_lexical,2,longmemeval_118b2229,How long is my daily commute to work?,45 minutes each way,canonical,0.0,1.0,1,mem_e981b9033b7bec30,observation,"I've been listening to audiobooks during my daily commute, which takes 45 minutes each way.",what did user read,eval_row_638:run_1773422985613_5516_29f69dfa:parser,,,,[638],"[""I've been listening to audiobooks during my daily commute, which takes 45 minutes each"", ""Ask yourself questions like \""What did I learn from this video?\"" \""How can I"", ""I've been using Lightroom for my edits, and I really like it"", ""I was using my new wide-angle lens, and I was experimenting with different angles"", ""I've been thinking about getting a humidifier for my bedroom, where my Aloe Vera"", ""Financial Management and Decision Making Assignment #5 (due by the end of Friday, March""]"
longmemeval_lexical,4,longmemeval_58bf7951,What play did I attend at the local community theater?,The Glass Menagerie,source_family,0.0,0.43067655807339306,4,mem_79c42ff7288104bc,observation,"The play I attended was actually a production of The Glass Menagerie, have you heard of it","when did The was actually a production of The Glass Menagerie
what event did The attend was actually a production of The Glass Menagerie",eval_row_1887:run_1773422985613_5516_29f69dfa:parser,,,,[1887],"[""By the way, I recently went to a play at the local community theater"", ""If you'd like to discuss more about the play, the community theater, or Emily's"", ""Perhaps you could encourage Emily to audition for a role at the community theater"", ""Community theaters are wonderful platforms for local artists to showcase their skills, and it's"", ""The play I attended was actually a production of The Glass Menagerie, have you"", ""Half Moon Bay Coffee Company is a local favorite, and I'm sure you'll enjoy""]"
longmemeval_lexical,4,longmemeval_58bf7951,What play did I attend at the local community theater?,The Glass Menagerie,canonical,0.0,0.43067655807339306,4,mem_79c42ff7288104bc,observation,"The play I attended was actually a production of The Glass Menagerie, have you heard of it","when did The was actually a production of The Glass Menagerie
what event did The attend was actually a production of The Glass Menagerie",eval_row_1887:run_1773422985613_5516_29f69dfa:parser,,,,[1887],"[""By the way, I recently went to a play at the local community theater"", ""If you'd like to discuss more about the play, the community theater, or Emily's"", ""Perhaps you could encourage Emily to audition for a role at the community theater"", ""Community theaters are wonderful platforms for local artists to showcase their skills, and it's"", ""The play I attended was actually a production of The Glass Menagerie, have you"", ""Half Moon Bay Coffee Company is a local favorite, and I'm sure you'll enjoy""]"
longmemeval_lexical,20,longmemeval_dccbc061,What was my previous stance on spirituality?,A staunch atheist,source_family,0.0,1.0,1,mem_8bc5014aaf03c140,observation,I'm trying to find some books on synchronicity and its connection to spirituality,what did user read,eval_row_9812:run_1773422985613_5516_29f69dfa:parser,,,,[9812],"[""For example, if the previous word was \""CAT,\"" you could say \""TIGER"", ""I'm trying to find some books on synchronicity and its connection to spirituality"", ""**Word Chain**: A game where you take turns saying a word that starts with"", ""While synchronicity is often associated with spirituality and mysticism, researchers from various fields have"", ""**Use the 'On This Day' feature:** Day One's \""On This Day\"" feature allows you"", ""I'd like to add my road bike to the list""]"
longmemeval_lexical,20,longmemeval_dccbc061,What was my previous stance on spirituality?,A staunch atheist,canonical,0.0,1.0,1,mem_8bc5014aaf03c140,observation,I'm trying to find some books on synchronicity and its connection to spirituality,what did user read,eval_row_9812:run_1773422985613_5516_29f69dfa:parser,,,,[9812],"[""For example, if the previous word was \""CAT,\"" you could say \""TIGER"", ""I'm trying to find some books on synchronicity and its connection to spirituality"", ""**Word Chain**: A game where you take turns saying a word that starts with"", ""While synchronicity is often associated with spirituality and mysticism, researchers from various fields have"", ""**Use the 'On This Day' feature:** Day One's \""On This Day\"" feature allows you"", ""I'd like to add my road bike to the list""]"
longmemeval_lexical,27,longmemeval_0862e8bf,What is the name of my cat?,Luna,source_family,0.0,1.0,1,mem_976cb58b2e7f50a4,observation,"By the way, my cat's name is Luna, and she's been such a sweetie throughout all the changes we've been making to her environment",,eval_row_13338:run_1773422985613_5516_29f69dfa:parser,,,,[13338],"[""By the way, my cat's name is Luna, and she's been such a sweetie"", ""I've actually already started giving my cat a probiotic supplement, and it seems to"", ""I'm having some issues with my cat's digestive health and I was wondering if"", ""And"", ""The name of the resort you're interested in"", ""His name was Thunderhoof, and he was a mighty centaur warrior""]"
longmemeval_lexical,27,longmemeval_0862e8bf,What is the name of my cat?,Luna,canonical,0.0,1.0,1,mem_976cb58b2e7f50a4,observation,"By the way, my cat's name is Luna, and she's been such a sweetie throughout all the changes we've been making to her environment",,eval_row_13338:run_1773422985613_5516_29f69dfa:parser,,,,[13338],"[""By the way, my cat's name is Luna, and she's been such a sweetie"", ""I've actually already started giving my cat a probiotic supplement, and it seems to"", ""I'm having some issues with my cat's digestive health and I was wondering if"", ""And"", ""The name of the resort you're interested in"", ""His name was Thunderhoof, and he was a mighty centaur warrior""]"
