run_label,query_index,tenant_id,query,reference_answer,audit_target,raw_ndcg,target_ndcg,credited_rank,credited_memory_id,credited_kind,credited_content,raw_support_content,judge_model,judge_semantic_label,judge_serving_label,judge_notes,judge_raw_response
locomo_allminilm,3,locomo_conv-26,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",source_family,0.0,0.11444540197406203,40,mem_cacc4494db31c76c,event,"On 8 May 2023, Caroline said that gonna continue my edu and check out career options, which is pretty exciting!",,anthropic/claude-sonnet-4,does_not_support,either_ok,States intent to continue education but doesn't specify any fields.,"```json
{""semantic_support_label"": ""does_not_support"", ""serving_semantics_label"": ""either_ok"", ""notes"": ""States intent to continue education but doesn't specify any fields.""}
```"
locomo_allminilm,3,locomo_conv-26,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",canonical,0.0,0.18665241123894338,40,mem_cacc4494db31c76c,event,"On 8 May 2023, Caroline said that gonna continue my edu and check out career options, which is pretty exciting!",,anthropic/claude-sonnet-4,does_not_support,either_ok,Item mentions continuing education but doesn't specify psychology or counseling fields.,"{""semantic_support_label"":""does_not_support"",""serving_semantics_label"":""either_ok"",""notes"":""Item mentions continuing education but doesn't specify psychology or counseling fields.""}"
locomo_allminilm,5,locomo_conv-26,What is Caroline's identity?,Transgender woman,source_family,0.0,0.43067655807339306,4,mem_233cec25100953f5,observation,"On 8 May 2023, Caroline said that the transgender stories were so inspiring",,anthropic/claude-sonnet-4,partial,either_ok,Item suggests Caroline is transgender but doesn't explicitly state her identity.,"```json
{""semantic_support_label"": ""partial"", ""serving_semantics_label"": ""either_ok"", ""notes"": ""Item suggests Caroline is transgender but doesn't explicitly state her identity.""}
```"
locomo_allminilm,5,locomo_conv-26,What is Caroline's identity?,Transgender woman,canonical,0.0,0.43067655807339306,4,mem_233cec25100953f5,observation,"On 8 May 2023, Caroline said that the transgender stories were so inspiring",,anthropic/claude-sonnet-4,partial,either_ok,Item suggests Caroline is transgender but doesn't explicitly state her identity.,"{
  ""semantic_support_label"": ""partial"",
  ""serving_semantics_label"": ""either_ok"", 
  ""notes"": ""Item suggests Caroline is transgender but doesn't explicitly state her identity.""
}"
locomo_allminilm,12,locomo_conv-26,Where did Caroline move from 4 years ago?,Sweden,source_family,0.0,0.11683606360696919,37,mem_a0a8b72385717810,observation,"On 27 Jun 2023, Caroline said that thanks, Melanie! This necklace is super special to me - a gift from my grandma in my home country, Sweden. She gave it to me when I was young, and it stands for love, faith and strength. It's like a reminder of my roots and all the love and support I get from my family.",,anthropic/claude-sonnet-4,supports,either_ok,"Clearly states Sweden as Caroline's home country, directly answering the query.","```json
{""semantic_support_label"": ""supports"", ""serving_semantics_label"": ""either_ok"", ""notes"": ""Clearly states Sweden as Caroline's home country, directly answering the query.""}
```"
locomo_allminilm,12,locomo_conv-26,Where did Caroline move from 4 years ago?,Sweden,canonical,0.0,0.1905514124267734,37,mem_a0a8b72385717810,observation,"On 27 Jun 2023, Caroline said that thanks, Melanie! This necklace is super special to me - a gift from my grandma in my home country, Sweden. She gave it to me when I was young, and it stands for love, faith and strength. It's like a reminder of my roots and all the love and support I get from my family.",,anthropic/claude-sonnet-4,supports,either_ok,"Clearly states Sweden as Caroline's home country, directly answering the query.","```json
{""semantic_support_label"": ""supports"", ""serving_semantics_label"": ""either_ok"", ""notes"": ""Clearly states Sweden as Caroline's home country, directly answering the query.""}
```"
locomo_allminilm,15,locomo_conv-26,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,Likely no,source_family,0.0,0.22639337185737665,38,mem_b76a4dc00f755d90,event,"On 9 Jun 2023, Caroline said that thanks Mel! Your kind words mean a lot. Sharing our experiences isn't always easy, but I feel it's important to help promote understanding and acceptance. I've been blessed with loads of love and support throughout this journey, and I want to pass it on to others. By sharing our stories, we can build a strong, supportive community of hope.",,anthropic/claude-sonnet-4,partial,either_ok,Shows Caroline values support but doesn't directly address career motivation without it.,"{""semantic_support_label"":""partial"",""serving_semantics_label"":""either_ok"",""notes"":""Shows Caroline values support but doesn't directly address career motivation without it.""}"
locomo_allminilm,15,locomo_conv-26,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,Likely no,canonical,0.0,0.22639337185737665,38,mem_b76a4dc00f755d90,event,"On 9 Jun 2023, Caroline said that thanks Mel! Your kind words mean a lot. Sharing our experiences isn't always easy, but I feel it's important to help promote understanding and acceptance. I've been blessed with loads of love and support throughout this journey, and I want to pass it on to others. By sharing our stories, we can build a strong, supportive community of hope.",,anthropic/claude-sonnet-4,partial,either_ok,Shows Caroline values support but doesn't directly address career motivation without it.,"{""semantic_support_label"":""partial"",""serving_semantics_label"":""either_ok"",""notes"":""Shows Caroline values support but doesn't directly address career motivation without it.""}"
locomo_allminilm,16,locomo_conv-26,What activities does Melanie partake in?,"pottery, camping, painting, swimming",source_family,0.0,0.2757731290758006,7,mem_0f2dd95f21bcc174,observation,"On 3 Jul 2023, Melanie said that it's like therapy for me, letting me express myself and get creative",,anthropic/claude-sonnet-4,does_not_support,either_ok,Item mentions creativity but doesn't specify which activities Melanie does.,"```json
{""semantic_support_label"": ""does_not_support"", ""serving_semantics_label"": ""either_ok"", ""notes"": ""Item mentions creativity but doesn't specify which activities Melanie does.""}
```"
locomo_allminilm,16,locomo_conv-26,What activities does Melanie partake in?,"pottery, camping, painting, swimming",canonical,0.0,0.2757731290758006,7,mem_0f2dd95f21bcc174,observation,"On 3 Jul 2023, Melanie said that it's like therapy for me, letting me express myself and get creative",,anthropic/claude-sonnet-4,does_not_support,either_ok,Item mentions creativity but doesn't specify any actual activities Melanie does.,"```json
{""semantic_support_label"": ""does_not_support"", ""serving_semantics_label"": ""either_ok"", ""notes"": ""Item mentions creativity but doesn't specify any actual activities Melanie does.""}
```"
